Display Name,Username,Tweet Text,Promoted
All Blacks,@AllBlacks,Any team that could field Curtley Ambrose and Courtney Walsh in the second row would be a formidable opponent. We’ll take you on anytime @windiescricket ! #Respect    ,False
Bloomberg,@business,"Maybe it’s something in the gazpacho or paella, as Spain just surpassed Italy to become the world’s healthiest country 
Attachment: https://t.co/3eSWgbdaZS?amp=1",True
Malakai Fekitoa,@MalakaiFekitoa,"NY state of mind   
Photo Src: https://pbs.twimg.com/media/EPZaeVoWAAAPRse?format=jpg&name=small",False
Super Rugby,@SuperRugbyNZ," Clear your calendar this weekend, you've got new plans now. We've got four New Zealand teams in action this weekend, who's pumped? #SuperRugby  #RugbyRecoded 
Photo Src: https://pbs.twimg.com/media/EPZTMrtUcAE_p6y?format=jpg&name=small",False
Hurricanes Rugby,@Hurricanesrugby,"Join the Hurricanes family today! Grab your membership before Monday February 3 to ensure you receive your membership pack before Opening Night. @SuperRugbyNZ  http://hurricanes.co.nz/membership/home/… 
Attachment: https://t.co/UBhLaxnZEU?amp=1
Photo Src: https://pbs.twimg.com/media/EPZUjPxUwAAGxGg?format=jpg&name=small",False
All Blacks,@AllBlacks,What is your most memorable haka? ,False
Super Rugby/TRC,@SuperRugby,"LATEST NEWS: 
Due to the ongoing bushfire crisis within Australia and the associated effects of bushfire smoke @SuperRugby has developed a guideline document that outlines the decision-making process for dealing with poor air quality at venues.
Details: http://bit.ly/2GuVdlR 
Attachment: https://t.co/nYf85VbJnL?amp=1
Photo Src: https://pbs.twimg.com/media/EPZT4s5VUAEFzU4?format=jpg&name=small",False
Julian Savea,@juliansavea7,"New York with my girls  
Photo Src: https://pbs.twimg.com/media/EPZCxofX4AAZlWq?format=jpg&name=360x360
Photo Src: https://pbs.twimg.com/media/EPZCxofWAAIdL7s?format=jpg&name=360x360
Photo Src: https://pbs.twimg.com/media/EPZCxopWAAAlOGR?format=jpg&name=360x360",False
Super Rugby,@SuperRugbyNZ,"Two more sleeps to go and we are sliding into #SuperRugby like... 
Video Src: blob:https://twitter.com/d373e186-3323-4610-a560-81252221e203",False
Rugby World,@Rugbyworldmag,"Jordan Larmour will start at full-back for Ireland on Saturday - read his exclusive interview in the new issue of Rugby World #OutNow 
Photo Src: https://pbs.twimg.com/media/EPYlIVgXsAA3QCM?format=jpg&name=small",False
Rugby World,@Rugbyworldmag,"Who do you agree with on the debate over number of subs?  
Photo Src: https://pbs.twimg.com/media/EPXMpDNXkAA9KdS?format=jpg&name=small",False
World Rugby,@WorldRugby,Incredible   #BravelikeEmmeline ,False
