Display Name,Username,Tweet Text,Promoted,Tweet Category,Opposite Category
Rugby World,@Rugbyworldmag,ANALYSIS: @SamLStandsUp looks at how teams pick off individual defenders  ,False,golf equipment,environment
The Blues,@BluesRugbyTeam,"“Hey Siri, play the Jaws Theme Music” #BluesAllDay  #WhateverItTakes  #25yearsstormers ",False,plastics & polymers,bbq
Hurricanes Rugby,@Hurricanesrugby,Who makes your All Time @hbmagpies Canes XV? ,False,lexus,program
Hurricanes Rugby,@Hurricanesrugby,Your All Time Canes @hbmagpies XV! @SuperRugbyNZ Story | http://hurricanes.co.nz/news/article/canes-magpies-xv/… ,False,nutrition,cafe
Rugby World,@Rugbyworldmag,What can the RFU learn from the make-up of the France team? Find out in @jwhitey98 's reflections on #SixNations round three   https://rugbyworld.com/tournaments/six-nations-2020/hamish-watson-enhances-lions-chances-108003… ,False,rotterdam,real
Gallagher Chiefs,@ChiefsRugby,"""These boys are not prepared to chuck in the towel, they're gonna fight till the very end.""

Head Coach Warren Gatland talks about the teams focus moving forward.

Members! Head to the Members Dugout to watch the full video  ",False,boxing gloves & gear,effects
Super Rugby,@SuperRugbyNZ,"ICYMI | There are two @crusadersrugby 's forwards sitting at the top of the Rookie Watch standings!

READ   http://bit.ly/2HSvtAM  #RugbyRecoded ",False,rap & hip-hop,new brunswick
Hurricanes Rugby,@Hurricanesrugby,Catch local lad @Gareth_evans8 and the team at McLean Park on Saturday! @HawkesBay_NZ  @hbmagpies  @SuperRugbyNZ   Tickets   http://bit.ly/HurricanesTicketsNapier… ,False,lobbying,house
Super Rugby/TRC,@SuperRugby,"TOTW RD#4   Has players from nine teams after a round that saw away wins to @TheSharksZA  @BrumbiesRugby and @BluesRugbyTeam , but @crusadersrugby lead the way with five players this week.
Full details: http://bit.ly/2w3CP1k  #SuperRugby25years ",False,rotterdam,real
Super Rugby,@SuperRugbyNZ," ROOKIE WATCH | And just like that, Cullen Grace climbs to the top of the leaderboard alongside his @crusadersrugby team mate Tom Christie. 

READ   http://bit.ly/2HSvtAM  #RugbyRecoded ",False,rap & hip-hop,new brunswick
Rugby World,@Rugbyworldmag,ICYMI: Five things @jwhitey98 learnt from round three of the Six Nations  ,False,theology & religious study,iceland
Super Rugby,@SuperRugbyNZ, Some changes in the #SuperRugby standings this week! #RugbyRecoded ,False,weather,cincinnati
Super Rugby,@SuperRugbyNZ,"  It was an entertaining battle last year when the @Hurricanesrugby played the @sunwolves !

They're back fresh from a bye & excited to play at McLean Park in Napier at ... 4.45PM!!   http://bit.ly/2STRDIU  #HURvSUN  #RugbyRecoded ",False,french overseas (dom-tom),toronto
Super Rugby/TRC,@SuperRugby,STANDINGS RD#4    How is your team travelling? Unbeaten @THESTORMERS lead the way... #SuperRugby25years News: http://super.rugby ,False,travel insurance,tahoe
Hurricanes Rugby,@Hurricanesrugby,"Grab your Hurricanes v Sunwolves ticket today to be in to win a signed 2020 Hurricanes jersey! @sunwolves  @SuperRugbyNZ  @hbmagpies  @HawkesBay_NZ 4.45pm kick off at McLean Park this Saturday.

Tickets | http://bit.ly/HurricanesTicketsNapier… ",False,tibet,south korea
Rugby World,@Rugbyworldmag,"""Italy’s traditional strengths and weaknesses have been flipped."" @jwhitey98 gives his thoughts on the latest Six Nations action   https://rugbyworld.com/tournaments/six-nations-2020/hamish-watson-enhances-lions-chances-108003… ",False,las vegas,traffic
