Display Name,Username,Tweet Text,Promoted
Netsafe NZ,@netsafeNZ,"#NetsafeTips Do an online profile check-up - get to know your social media privacy settings. Your digital footprint doesn’t wash away with the next tide so think twice about what you post. Read our guide to privacy on Twitter https://netsafe.org.nz/twitter-privacy/…  #SID2020 
Attachment: https://t.co/7hY3ORV178?amp=1
Photo Src: https://pbs.twimg.com/media/EQccNVyXkAAMcyC?format=jpg&name=small",True
Bloomberg,@business,"The economic cost of Brexit has already hit $170 billion, new research shows 
Attachment: https://t.co/5P7ZIwDJLR?amp=1",True
"Datadog, Inc.",@datadoghq,"With out-of-the-box dashboards and 400+ integrations, Datadog enables you to monitor metrics, logs, and traces from your environment in minutes. Try it today: 
Attachment: https://t.co/TCB8nUGgJN?amp=1
Video Src: blob:https://twitter.com/240e2956-a351-4b06-bba1-6d40409be528",True
ACC New Zealand,@ACCNZ,"“Everyone gets a medal when they complete #IronMāori . It’s taonga. People wear it with pride. It shows what people can do and what they can achieve.”

Read how 73 year-old Waiora embodies everything about the event and why we support it: https://acc.nz/387JqG8 
Attachment: https://t.co/BRDabU1PVg?amp=1
Photo Src: https://pbs.twimg.com/media/EP5hrLrUUAAAwk0?format=jpg&name=small",True
Grammarly,@Grammarly,"Instantly fix typos, grammatical mistakes, and other writing issues. Trusted by millions of students, faculty, and professionals worldwide. Try Grammarly now! 
Attachment: https://t.co/V4h7w2lCwj?amp=1
Video Src: blob:https://twitter.com/f651df5b-4b55-4986-aa84-23ac9c5fdcc6",True
The Blues,@BluesRugbyTeam,"“Hey Siri, play the Jaws Theme Music” #BluesAllDay  #WhateverItTakes  #25yearsstormers ",False,1552,cats
Hurricanes Rugby,@Hurricanesrugby,Who makes your All Time @hbmagpies Canes XV? ,False,1135,cats
Hurricanes Rugby,@Hurricanesrugby,Your All Time Canes @hbmagpies XV! @SuperRugbyNZ Story | http://hurricanes.co.nz/news/article/canes-magpies-xv/… ,False,1432,cats
Rugby World,@Rugbyworldmag,What can the RFU learn from the make-up of the France team? Find out in @jwhitey98 's reflections on #SixNations round three   https://rugbyworld.com/tournaments/six-nations-2020/hamish-watson-enhances-lions-chances-108003… ,False,1699,cats
Quade Cooper,@QuadeCooper,Loving the support from our sporting community allowing me to turn up and take part is some different sports and meet some truly amazing people. Big thanks kickbacktouchfootball for letting join their Monday night… https://instagram.com/p/B8-wyWlALEk/?igshid=1uv71mri6emte… ,False,562,cats
Gallagher Chiefs,@ChiefsRugby,"""These boys are not prepared to chuck in the towel, they're gonna fight till the very end.""

Head Coach Warren Gatland talks about the teams focus moving forward.

Members! Head to the Members Dugout to watch the full video  ",False,246,cats
Super Rugby,@SuperRugbyNZ,"ICYMI | There are two @crusadersrugby 's forwards sitting at the top of the Rookie Watch standings!

READ   http://bit.ly/2HSvtAM  #RugbyRecoded ",False,1639,cats
Hurricanes Rugby,@Hurricanesrugby,Catch local lad @Gareth_evans8 and the team at McLean Park on Saturday! @HawkesBay_NZ  @hbmagpies  @SuperRugbyNZ   Tickets   http://bit.ly/HurricanesTicketsNapier… ,False,1158,cats
