Category ID,Label,Most Correlated,Least Correlated
527,??d?,dade,jobs
1125,?le-de-france,led,flight
0,abruzzo,conferences,games
1,academic conferences & publications,academy,social
2,acapulco,acapulco,country
3,accident & personal injury law,accommodation,bhutan
4,accounting & auditing,accounting,input output
5,accounting & finance jobs,accounting,input output
6,accounting & financial software,acting,technology
7,acting & theater,acting,input output
8,action & adventure films,action,management
10,action & platform games,activities,canada
9,action figures,action,australia
11,acupuncture & chinese medicine,acupuncture,job
12,acura,acura,finance
13,adana,press,input output
14,add & adhd,add,food
15,adelaide,admin,spanish
16,adoption,adult,testing
17,adventure games,adventure,science
18,adventure travel,adventure travel,book
19,advertising & marketing,advocacy,network
20,aegean islands,sea,input output
21,aegean turkey,aerospace,florida
22,aerospace & defense,aerospace,india
23,affiliate programs,affordable,county
24,afghanistan,afghanistan,legal
25,africa,africa,video
27,african music,african music,online
26,african-americans,african,companies
28,africans & diaspora,aftermarket,birmingham
29,aging & geriatrics,research,input output
30,agra,agra,rental
31,agricultural equipment,agricultural,real estate
32,agriculture & forestry,agriculture,video
33,agritourism,tuscany,input output
34,agrochemicals,chemicals,jobs
35,aichi,aids,input output
36,aids & hiv,airfare,living
37,air force,air force,white
39,air travel,air travel,guide
38,airport parking & transportation,airports,manila
40,akita,akita,world
41,alabama,alabama,coast
42,alagoas,alarm,music
43,alaska,alaska,country
44,albania,albania,hotels
45,albany-capital district,albany,input output
46,alberta,alberta,loan
47,albuquerque-santa fe,alcohol,mobile
48,alcoholic beverages,alcohol,finance
49,alfa romeo,alfa romeo,houston
50,algeria,algeria,copenhagen
51,allergies,inclusive,projects
52,alsace,alternative,road
53,alternative & natural medicine,alternative,san
54,alumni & reunions,alzheimers,hotel
55,alzheimer's disease,amalfi,stores
56,amazonas,american,facts
57,american football,american football,input output
58,american football equipment,american,peru
59,amsterdam,amsterdam,india
60,anatomy,anatomy,medical
61,ancestry & genealogy,ancient,real estate
62,andalucia,andalucia,rental
63,andhra pradesh,andhra pradesh,history
64,andorra,andorra,ideas
65,android apps,android,radio
66,android os,android os,real estate
67,angola,angola,events
68,anhui,animal,health
69,animal products & services,animals,care
70,animal welfare,animal welfare,south
71,animated films,animation,life
72,anime & manga,anime,hotel
73,ankara,ankara,women
74,antalya,antalya,water
75,anthropology,anthropology,accommodation
76,antigua & barbuda,antique,player
77,antiques & collectibles,anti,products
78,antivirus & malware,anxiety,sites
79,anxiety & stress,anxiety,free
80,aomori,pattaya,input output
81,aosta valley,apartments,bahrain
82,apartments & residential rentals,apartments rent,website
83,apparel,apparel,input output
84,apparel services,apple,business
85,apple ios,apple,product
86,aquaculture,aquaculture,home
87,aquitaine,arabic,sale
88,arab & middle eastern music,arab,input output
89,arabs & middle easterners,arab,input output
90,aragon,aragon,services
91,arcade & coin-op games,archaeological,schools
92,archaeology,architectural,control
93,architecture,architecture,vancouver
94,argentina,argentina,accommodation
95,arizona,arizona,government
96,arkansas,arkansas,development
97,armenia,armenia,film
98,army,army,north carolina
99,art & craft supplies,art education,sites
101,art museums & galleries,arts crafts,ireland
100,arthritis,arthritis,los
103,arts & entertainment,art,online
102,arts education,arts,input output
104,"aruba, bonaire & cura?ao",removal,property
105,asia,asian,cost
106,asians & diaspora,asset,office
107,asset & portfolio management,assisted,information
108,assisted living & long term care,assisted,city
109,assistive technology,assistive technology,chinese
110,asthma,asthma,st
111,astrology & divination,study,input output
112,astronomy,astronomy,video
113,asturias,paraguay,music
114,athens,athens,usa
115,athletic apparel,athletic,input output
116,athletic shoes,athletic,water
117,atlanta,atlanta,ski
118,atlantic provinces,atm,game
119,atmospheric science,atm,input output
120,atms & branch locations,attractions,gold coast
121,auckland,auckland,supplies
122,auctions,auctions,new
123,audi,audi,free online
126,audio & music software,audi,theater
124,audio equipment,audio,input output
125,audio files formats & codecs,audio,online
127,austin-round rock,austin texas,weather
128,australia,australian,singapore
129,australian football,australian,rock
130,austria,authentic,rate
131,auto exterior,auto finance,online
132,auto financing,auto,city
133,auto insurance,auto insurance,india
134,auto interior,automobile,policy
136,auto racing,auto racing,office
135,automotive industry,automotive,engine
137,autos & vehicles,auto,new
138,auvergne,average,tourist
139,aviation,aviation,tamil
140,azerbaijan,azerbaijan,travel
141,azores & madeira,babies,holidays
142,babies & toddlers,baby boy,air
145,baby & pet names,baby,day
146,baby & toddler toys,bachelor,papua new
143,baby care & hygiene,baby,usa
144,baby food & formula,baby,outdoor
147,baden-wuerttemberg,bad,west
148,bahamas,bahamas,sale
149,bahia,bahia,input output
150,bahrain,bahrain,football
151,baja california,baja,weather
152,baked goods,baked,input output
153,bakeries,baking,shoes
154,balearic islands,islands,input output
155,bali,bali,coast
156,baltics,baltimore,sale
157,baltimore metro,baltimore,power
158,bangalore,bangalore,car
159,bangkok,bangkok,weather
160,bangladesh,bangladesh,deals
162,bank-owned & foreclosed properties,bank owned,services
161,banking,bank,south
163,bankruptcy,bankruptcy,central
164,barbados,barbie,sports
165,barcelona,barcelona,power
166,bari,bari,security
167,"bars, clubs & nightlife",bars,input output
168,baseball,baseball,computer
169,baseball equipment,baseball,prices
170,basilicata,basket,input output
171,basketball,basketball,uk
172,basketball equipment,basketball,facts
173,basque country,bass,market
174,bathroom,bathroom,sale
175,baton rouge,baton rouge,department
176,bavaria,bavaria,listings
177,bbq & grilling,bbq,money
178,beaches & islands,beautiful,jacksonville
179,beauty & fitness,beauty pageant,input output
180,beauty pageants,bed breakfast,tulsa
181,bed & bath,bed bath,shop
182,bedding & bed linens,bed,care
183,bedroom,bedroom,rental
184,beds & headboards,beds,input output
185,beef,beef,shop
186,beer,beer,social
187,beijing,beijing,deals
188,belarus,belarus,holiday
189,belgium,belgium,france
190,belize,belize,kids
191,belo horizonte,benefits,investment
192,benelux,bengal,sale
193,bentley,bentley,classic
194,berlin,berlin,car
195,bermuda,best,tv commercials
196,beverages,beverage,recipes
197,bhutan,bhutan,maps
198,bicycles & accessories,big,names
199,big island (hawaii),big,prices
200,bihar,bihar,places
201,bike accessories,bike,service
202,bike frames,bike helmet,best
203,bike helmets & protective gear,bike,input output
204,bike parts & repair,billiard,board
205,billiards,billiards,equipment
206,billing & invoicing,billing,weather
207,"binoculars, telescopes & optical devices",conservation,input output
208,biographies & quotations,biological,south
209,biological sciences,biotech,dress
210,birds,birds,art
211,birmingham (al),birmingham,wedding
212,birmingham (uk),birth certificate,airport
213,birth control,birthday,coast
214,birthdays & name days,blackberry,shirts
216,black sea turkey,blank,deals
215,blackberry os,black,festival
217,blenders,block,west
218,blogging resources & services,blue,legal
221,blu-ray players & recorders,blu,game
219,blues,blues,game
220,bluetooth accessories,bluetooth,technology
222,bmw,bmw,games online
223,bmx bikes,bmx,news
224,board games,boat,parts
225,boating,boats sale,companies
226,boats & watercraft,boca,shopping
227,bodrum,bodrum,estate
228,body art,body art,food
229,bodybuilding,bodybuilding,game
230,bogota,bogota,tickets
231,bolivia,bolivia,events
232,bollywood & south asian film,bond,new
233,bonds,booking,systems
235,book retailers,books,holiday
234,bookkeeping,bookkeeping,film
236,books & literature,books,gold
237,boots,bora,treatment
238,bordeaux,bosch,cheap flights
239,bosnia and herzegovina,bosnia,prices
240,boston metro,boston,film
241,botswana,botswana,companies
242,bottled water,boutique,supply
243,bowling,bowling,home
244,bowling equipment,bowling,video
245,boxing,boxing,games
246,boxing gloves & gear,brain,effects
248,brand management,brand,systems
247,brandenburg,branding,services
249,brasilia,brasilia,university
250,brazil,brazil,news
251,brazilian music,brazil,shopping
252,bread makers,bread,hotel
253,breakfast foods,breaking,fl
254,bremen,bremen,tennis
255,bridal wear,bridal wear,ideas
256,brisbane,brisbane,law
257,bristol,bristol,website
258,british columbia,british,garden
259,brittany,brittany,card
260,broadcast & network news,broadway,services
261,broadway & musical theater,broadway,uk
262,brokerages & day trading,sculpture,service
263,broward-fort lauderdale,brown,medical
264,brunei,brunei,information
265,brussels,brussels,hotels
266,bucharest,bucharest,international
267,budapest,budapest,places
268,buddhism,budget,desktop
269,buenos aires,buenos,bike
270,buffalo-niagara falls,buffalo,input output
271,buick,buick,event
272,building materials & supplies,building,input output
273,building toys,build,player
274,bulgaria,bulgaria,las
